handle
OccupyDemocrats
BBC
MSNBC
npr
TheAtlantic
AddInfoOrg
HuffPost
voxdotcom
Slate
nytimes
politico
ABC
cnn
NBCNews
AP
wsj
BreitbartNews
TheFiscalTimes
washingtonpost
TheEconomist
DailyCaller
theblaze
guardian
redstate
nypost
nro
foxnews
Reuters
