handle
AnaheimDucks
ArizonaCoyotes
Avalanche
BlueJacketsNHL
BuffaloSabres
CanadiensMTL
Canucks
Capitals
DallasStars
DetroitRedWings
EdmontonOilers
FlaPanthers
GoldenKnights
LAKings
MapleLeafs
NHLBlackhawks
NHLBruins
NHLCanes
NHLFlames
NHLFlyers
NHLJets
NJDevils
NYIslanders
NYRangers
PredsNHL
SanJoseSharks
Senators
StLouisBlues
TBLightning
mnwild
penguins
