handle
harvard
mit
princeton
asu
UHouston
johnshopkins
UofAlabama
usc
tcu
uiowa
westpoint_usma
universityofky
HowardU
Illinois_Alma
syracuseu
uakron
NavalAcademy
ohiou
UChicago
UNCCharlotte
uarkansas
Gwtweets
vanderbiltu
miamiuniversity
BoiseState
iupui
butleru
indianastate
iupedu
denisonu
KenyonCollege
depauwu
OberlinCollege
WabashCollege
LawrenceUni
denisonu
WoosterEdu
AmericanU
northwesternu
