handle
49ers
atlantafalcons
azcardinals
bengals
broncos
browns
buccaneers
buffalobills
chargers
chicagobears
chiefs
colts
dallascowboys
eagles
giants
houstontexans
jaguars
lions
miamidolphins
nyjets
packers
panthers
patriots
raiders
ramsnfl
ravens
redskins
saints
seahawks
steelers
titans
vikings
