handle
atlhawks
brooklynnets
bucks
cavs
celtics
chicagobulls
dallasmavs
detroitpistons
hornets
houstonrockets
laclippers
lakers
memgrizz
miamiheat
nuggets
nyknicks
okcthunder
orlandomagic
pacers
pelicansnba
raptors
sacramentokings
sixers
spurs
suns
timberwolves
trailblazers
utahjazz
warriors
washwizards
