first_name,last_name,state,party,handle
Stephen,Lynch,MA,Democrat,RepStephenLynch
Carolyn,Maloney,NY,Democrat,RepMaloney
Edward,Markey,MA,Democrat,SenMarkey
Doris,Matsui,CA,Democrat,DorisMatsui
Kevin,McCarthy,CA,Republican,GOPLeader
Michael,McCaul,TX,Republican,RepMcCaul
Tom,McClintock,CA,Republican,RepMcClintock
Betty,McCollum,MN,Democrat,BettyMcCollum04
James,McGovern,MA,Democrat,RepMcGovern
Patrick,McHenry,NC,Republican,PatrickMcHenry
David,McKinley,WV,Republican,RepMcKinley
Cathy,Rodgers,WA,Republican,CathyMcMorris
Jerry,McNerney,CA,Democrat,RepMcNerney
Gregory,Meeks,NY,Democrat,RepGregoryMeeks
Gwen,Moore,WI,Democrat,RepGwenMoore
Jerry,Moran,KS,Republican,JerryMoran
Lisa,Murkowski,AK,Republican,LisaMurkowski
Christopher,Murphy,CT,Democrat,SenMurphyOffice
Patty,Murray,WA,Democrat,PattyMurray
Jerrold,Nadler,NY,Democrat,RepJerryNadler
Grace,Napolitano,CA,Democrat,GraceNapolitano
Richard,Neal,MA,Democrat,RepRichardNeal
Eleanor,Norton,DC,Democrat,EleanorNorton
Steven,Palazzo,MS,Republican,CongPalazzo
Frank,Pallone,NJ,Democrat,FrankPallone
Bill,Pascrell,NJ,Democrat,BillPascrell
Rand,Paul,KY,Republican,SenRandPaul
Nancy,Pelosi,CA,Democrat,SpeakerPelosi
Ed,Perlmutter,CO,Democrat,RepPerlmutter
Gary,Peters,MI,Democrat,SenGaryPeters
Chellie,Pingree,ME,Democrat,ChelliePingree
Robert,Portman,OH,Republican,SenRobPortman
Bill,Posey,FL,Republican,CongBillPosey
David,Price,NC,Democrat,RepDavidEPrice
Mike,Quigley,IL,Democrat,RepMikeQuigley
Harold,Rogers,KY,Republican,RepHalRogers
Mike,Rogers,AL,Republican,RepMikeRogersAL
Lucille,Roybal-Allard,CA,Democrat,RepRoybalAllard
Marco,Rubio,FL,Republican,SenRubioPress
C.,Ruppersberger,MD,Democrat,Call_Me_Dutch
Bobby,Rush,IL,Democrat,RepBobbyRush
Tim,Ryan,OH,Democrat,RepTimRyan
Gregorio,Sablan,MP,Democrat,Kilili_Sablan
John,Sarbanes,MD,Democrat,RepSarbanes
Steve,Scalise,LA,Republican,SteveScalise
Janice,Schakowsky,IL,Democrat,JanSchakowsky
Adam,Schiff,CA,Democrat,RepAdamSchiff
Kurt,Schrader,OR,Democrat,RepSchrader
Charles,Schumer,NY,Democrat,SenSchumer
David,Schweikert,AZ,Republican,RepDavid
Austin,Scott,GA,Republican,AustinScottGA08
David,Scott,GA,Democrat,RepDavidScott
Robert,Scott,VA,Democrat,BobbyScott
Tim,Scott,SC,Republican,SenatorTimScott
Terri,Sewell,AL,Democrat,RepTerriSewell
Richard,Shelby,AL,Republican,SenShelby
Brad,Sherman,CA,Democrat,BradSherman
Michael,Simpson,ID,Republican,CongMikeSimpson
Albio,Sires,NJ,Democrat,RepSires
Adam,Smith,WA,Democrat,RepAdamSmith
Adrian,Smith,NE,Republican,RepAdrianSmith
Jackie,Speier,CA,Democrat,RepSpeier
Linda,Sánchez,CA,Democrat,RepLindaSanchez
Bennie,Thompson,MS,Democrat,BennieGThompson
Mike,Thompson,CA,Democrat,RepThompson
Glenn,Thompson,PA,Republican,CongressmanGT
John,Thune,SD,Republican,SenJohnThune
Paul,Tonko,NY,Democrat,RepPaulTonko
Patrick,Toomey,PA,Republican,SenToomey
Michael,Turner,OH,Republican,RepMikeTurner
Fred,Upton,MI,Republican,RepFredUpton
Chris,Van Hollen,MD,Democrat,ChrisVanHollen
Nydia,Velázquez,NY,Democrat,NydiaVelazquez
Tim,Walberg,MI,Republican,RepWalberg
Debbie,Wasserman Schultz,FL,Democrat,RepDWStweets
Maxine,Waters,CA,Democrat,RepMaxineWaters
Daniel,Webster,FL,Republican,RepWebster
Peter,Welch,VT,Democrat,PeterWelch
Joe,Wilson,SC,Republican,RepJoeWilson
Frederica,Wilson,FL,Democrat,RepWilson
Robert,Wittman,VA,Republican,RobWittman
Steve,Womack,AR,Republican,Rep_SteveWomack
Ron,Wyden,OR,Democrat,RonWyden
John,Yarmuth,KY,Democrat,RepJohnYarmuth
Todd,Young,IN,Republican,SenToddYoung
Mark,Amodei,NV,Republican,MarkAmodeiNV2
Suzanne,Bonamici,OR,Democrat,RepBonamici
Suzan,DelBene,WA,Democrat,RepDelBene
Thomas,Massie,KY,Republican,RepThomasMassie
Donald,Payne,NJ,Democrat,RepDonaldPayne
Brian,Schatz,HI,Democrat,SenBrianSchatz
Bill,Foster,IL,Democrat,RepBillFoster
Dina,Titus,NV,Democrat,RepDinaTitus
Tom,Cotton,AR,Republican,SenTomCotton
Kyrsten,Sinema,AZ,Democrat,SenatorSinema
Doug,LaMalfa,CA,Republican,RepLaMalfa
Jared,Huffman,CA,Democrat,RepHuffman
Ami,Bera,CA,Democrat,RepBera
Eric,Swalwell,CA,Democrat,RepSwalwell
Julia,Brownley,CA,Democrat,RepBrownley
Tony,Cárdenas,CA,Democrat,RepCardenas
Raul,Ruiz,CA,Democrat,RepRaulRuizMD
Mark,Takano,CA,Democrat,RepMarkTakano
Alan,Lowenthal,CA,Democrat,RepLowenthal
Juan,Vargas,CA,Democrat,RepJuanVargas
Scott,Peters,CA,Democrat,RepScottPeters
Lois,Frankel,FL,Democrat,RepLoisFrankel
Tammy,Duckworth,IL,Democrat,SenDuckworth
Rodney,Davis,IL,Republican,RodneyDavis
Cheri,Bustos,IL,Democrat,RepCheri
Jackie,Walorski,IN,Republican,RepWalorski
Garland,Barr,KY,Republican,RepAndyBarr
Elizabeth,Warren,MA,Democrat,SenWarren
Daniel,Kildee,MI,Democrat,RepDanKildee
Ann,Wagner,MO,Republican,RepAnnWagner
Steve,Daines,MT,Republican,SteveDaines
Richard,Hudson,NC,Republican,RepRichHudson
Kevin,Cramer,ND,Republican,SenKevinCramer
Deb,Fischer,NE,Republican,SenatorFischer
Ann,Kuster,NH,Democrat,RepAnnieKuster
Grace,Meng,NY,Democrat,RepGraceMeng
Hakeem,Jeffries,NY,Democrat,RepJeffries
Sean,Maloney,NY,Democrat,RepSeanMaloney
Brad,Wenstrup,OH,Republican,RepBradWenstrup
Joyce,Beatty,OH,Democrat,RepBeatty
David,Joyce,OH,Republican,RepDaveJoyce
Markwayne,Mullin,OK,Republican,RepMullin
Scott,Perry,PA,Republican,RepScottPerry
Matthew,Cartwright,PA,Democrat,RepCartwright
Tom,Rice,SC,Republican,RepTomRice
Ted,Cruz,TX,Republican,SenTedCruz
Randy,Weber,TX,Republican,TXRandy14
Joaquin,Castro,TX,Democrat,JoaquinCastrotx
Roger,Williams,TX,Republican,RepRWilliams
Marc,Veasey,TX,Democrat,RepVeasey
Chris,Stewart,UT,Republican,RepChrisStewart
Derek,Kilmer,WA,Democrat,RepDerekKilmer
Mark,Pocan,WI,Democrat,RepMarkPocan
Robin,Kelly,IL,Democrat,RepRobinKelly
Jason,Smith,MO,Republican,RepJasonSmith
Cory,Booker,NJ,Democrat,SenBooker
Katherine,Clark,MA,Democrat,RepKClark
Donald,Norcross,NJ,Democrat,DonaldNorcross
Alma,Adams,NC,Democrat,RepAdams
Gary,Palmer,AL,Republican,USRepGaryPalmer
J.,Hill,AR,Republican,RepFrenchHill
Bruce,Westerman,AR,Republican,RepWesterman
Ruben,Gallego,AZ,Democrat,RepRubenGallego
Mark,DeSaulnier,CA,Democrat,RepDeSaulnier
Pete,Aguilar,CA,Democrat,RepPeteAguilar
Ted,Lieu,CA,Democrat,RepTedLieu
Norma,Torres,CA,Democrat,NormaJTorres
Ken,Buck,CO,Republican,RepKenBuck
Earl,Carter,GA,Republican,RepBuddyCarter
Jody,Hice,GA,Republican,CongressmanHice
Barry,Loudermilk,GA,Republican,RepLoudermilk
Rick,Allen,GA,Republican,RepRickAllen
Mike,Bost,IL,Republican,RepBost
Garret,Graves,LA,Republican,RepGarretGraves
Seth,Moulton,MA,Democrat,RepMoulton
John,Moolenaar,MI,Republican,RepMoolenaar
Debbie,Dingell,MI,Democrat,RepDebDingell
Brenda,Lawrence,MI,Democrat,RepLawrence
Tom,Emmer,MN,Republican,RepTomEmmer
David,Rouzer,NC,Republican,RepDavidRouzer
Bonnie,Watson Coleman,NJ,Democrat,RepBonnie
Lee,Zeldin,NY,Republican,RepLeeZeldin
Kathleen,Rice,NY,Democrat,RepKathleenRice
Elise,Stefanik,NY,Republican,RepStefanik
John,Katko,NY,Republican,RepJohnKatko
Brendan,Boyle,PA,Democrat,CongBoyle
Brian,Babin,TX,Republican,RepBrianBabin
Donald,Beyer,VA,Democrat,RepDonBeyer
Stacey,Plaskett,VI,Democrat,StaceyPlaskett
Dan,Newhouse,WA,Republican,RepNewhouse
Glenn,Grothman,WI,Republican,RepGrothman
Alexander,Mooney,WV,Republican,RepAlexMooney
Aumua Amata,Radewagen,AS,Republican,RepAmata
Dan,Sullivan,AK,Republican,SenDanSullivan
Joni,Ernst,IA,Republican,SenJoniErnst
Thom,Tillis,NC,Republican,SenThomTillis
Mike,Rounds,SD,Republican,SenatorRounds
Benjamin,Sasse,NE,Republican,SenSasse
Trent,Kelly,MS,Republican,RepTrentKelly
Darin,LaHood,IL,Republican,RepLaHood
Warren,Davidson,OH,Republican,WarrenDavidson
James,Comer,KY,Republican,RepJamesComer
Dwight,Evans,PA,Democrat,RepDwightEvans
John,Kennedy,LA,Republican,SenJohnKennedy
Margaret,Hassan,NH,Democrat,SenatorHassan
Catherine,Cortez Masto,NV,Democrat,SenCortezMasto
Bradley,Schneider,IL,Democrat,RepSchneider
Tom,O’Halleran,AZ,Democrat,RepOHalleran
Andy,Biggs,AZ,Republican,RepAndyBiggsAZ
Ro,Khanna,CA,Democrat,RepRoKhanna
Jimmy,Panetta,CA,Democrat,RepJimmyPanetta
Salud,Carbajal,CA,Democrat,RepCarbajal
Nanette,Barragán,CA,Democrat,RepBarragan
J.,Correa,CA,Democrat,RepLouCorrea
Lisa,Blunt Rochester,DE,Democrat,RepLBR
Matt,Gaetz,FL,Republican,RepMattGaetz
Neal,Dunn,FL,Republican,DrNealDunnFL2
John,Rutherford,FL,Republican,RepRutherfordFL
Al,Lawson,FL,Democrat,RepAlLawsonJr
Stephanie,Murphy,FL,Democrat,RepStephMurphy
Darren,Soto,FL,Democrat,RepDarrenSoto
Val,Demings,FL,Democrat,RepValDemings
Charlie,Crist,FL,Democrat,RepCharlieCrist
Brian,Mast,FL,Republican,RepBrianMast
A.,Ferguson,GA,Republican,RepDrewFerguson
Raja,Krishnamoorthi,IL,Democrat,CongressmanRaja
Jim,Banks,IN,Republican,RepJimBanks
Trey,Hollingsworth,IN,Republican,RepTrey
Roger,Marshall,KS,Republican,SenatorMarshall
Clay,Higgins,LA,Republican,RepClayHiggins
Mike,Johnson,LA,Republican,RepMikeJohnson
Anthony,Brown,MD,Democrat,RepAnthonyBrown
Jamie,Raskin,MD,Democrat,RepRaskin
Jack,Bergman,MI,Republican,RepJackBergman
Ted,Budd,NC,Republican,RepTedBudd
Don,Bacon,NE,Republican,RepDonBacon
Josh,Gottheimer,NJ,Democrat,RepJoshG
Jacky,Rosen,NV,Democrat,SenJackyRosen
Thomas,Suozzi,NY,Democrat,RepTomSuozzi
Adriano,Espaillat,NY,Democrat,RepEspaillat
Brian,Fitzpatrick,PA,Republican,RepBrianFitz
Lloyd,Smucker,PA,Republican,RepSmucker
Jenniffer,González-Colón,PR,Republican,RepJenniffer
David,Kustoff,TN,Republican,RepDavidKustoff
Vicente,Gonzalez,TX,Democrat,RepGonzalez
Jodey,Arrington,TX,Republican,RepArrington
A.,McEachin,VA,Democrat,RepMcEachin
Pramila,Jayapal,WA,Democrat,RepJayapal
Mike,Gallagher,WI,Republican,RepGallagher
Liz,Cheney,WY,Republican,RepLizCheney
Ron,Estes,KS,Republican,RepRonEstes
Ralph,Norman,SC,Republican,RepRalphNorman
Jimmy,Gomez,CA,Democrat,RepJimmyGomez
John,Curtis,UT,Republican,RepJohnCurtis
Tina,Smith,MN,Democrat,SenTinaSmith
Cindy,Hyde-Smith,MS,Republican,SenHydeSmith
Conor,Lamb,PA,Democrat,RepConorLamb
Debbie,Lesko,AZ,Republican,RepDLesko
Michael,Cloud,TX,Republican,RepCloudTX
Troy,Balderson,OH,Republican,RepBalderson
Kevin,Hern,OK,Republican,repkevinhern
Joseph,Morelle,NY,Democrat,RepJoeMorelle
Mary,Scanlon,PA,Democrat,RepMGS
Susan,Wild,PA,Democrat,RepSusanWild
Ed,Case,HI,Democrat,RepEdCase
Steven,Horsford,NV,Democrat,RepHorsford
Ann,Kirkpatrick,AZ,Democrat,RepKirkpatrick
Greg,Stanton,AZ,Democrat,RepGregStanton
Josh,Harder,CA,Democrat,RepJoshHarder
Katie,Porter,CA,Democrat,RepKatiePorter
Mike,Levin,CA,Democrat,RepMikeLevin
Joe,Neguse,CO,Democrat,RepJoeNeguse
Jason,Crow,CO,Democrat,RepJasonCrow
Jahana,Hayes,CT,Democrat,RepJahanaHayes
Michael,Waltz,FL,Republican,RepWaltzPress
W.,Steube,FL,Republican,RepGregSteube
Lucy,McBath,GA,Democrat,RepLucyMcBath
Michael,San Nicolas,GU,Democrat,GuamCongressman
Cynthia,Axne,IA,Democrat,RepCindyAxne
Russ,Fulcher,ID,Republican,RepRussFulcher
Jesús,García,IL,Democrat,RepChuyGarcia
Sean,Casten,IL,Democrat,RepCasten
Lauren,Underwood,IL,Democrat,RepUnderwood
James,Baird,IN,Republican,RepJimBaird
Greg,Pence,IN,Republican,RepGregPence
Sharice,Davids,KS,Democrat,RepDavids
Lori,Trahan,MA,Democrat,RepLoriTrahan
Ayanna,Pressley,MA,Democrat,RepPressley
David,Trone,MD,Democrat,RepDavidTrone
Elissa,Slotkin,MI,Democrat,RepSlotkin
Andy,Levin,MI,Democrat,RepAndyLevin
Haley,Stevens,MI,Democrat,RepHaleyStevens
Rashida,Tlaib,MI,Democrat,RepRashida
Angie,Craig,MN,Democrat,RepAngieCraig
Dean,Phillips,MN,Democrat,RepDeanPhillips
Ilhan,Omar,MN,Democrat,Ilhan
Pete,Stauber,MN,Republican,RepPeteStauber
Michael,Guest,MS,Republican,RepMichaelGuest
Kelly,Armstrong,ND,Republican,RepArmstrongND
Chris,Pappas,NH,Democrat,RepChrisPappas
Jefferson,Van Drew,NJ,Republican,Congressman_JVD
Andy,Kim,NJ,Democrat,RepAndyKimNJ
Tom,Malinowski,NJ,Democrat,RepMalinowski
Mikie,Sherrill,NJ,Democrat,RepSherrill
Susie,Lee,NV,Democrat,RepSusieLee
Alexandria,Ocasio-Cortez,NY,Democrat,RepAOC
Anthony,Gonzalez,OH,Republican,RepAGonzalez
Madeleine,Dean,PA,Democrat,RepDean
Chrissy,Houlahan,PA,Democrat,RepHoulahan
Daniel,Meuser,PA,Republican,RepMeuser
John,Joyce,PA,Republican,RepJohnJoyce
Guy,Reschenthaler,PA,Republican,GReschenthaler
William,Timmons,SC,Republican,RepTimmons
Dusty,Johnson,SD,Republican,RepDustyJohnson
Tim,Burchett,TN,Republican,RepTimBurchett
John,Rose,TN,Republican,RepJohnRose
Mark,Green,TN,Republican,RepMarkGreen
Dan,Crenshaw,TX,Republican,RepDanCrenshaw
Van,Taylor,TX,Republican,RepVanTaylor
Lizzie,Fletcher,TX,Democrat,RepFletcher
Veronica,Escobar,TX,Democrat,RepEscobar
Chip,Roy,TX,Republican,RepChipRoy
Sylvia,Garcia,TX,Democrat,RepSylviaGarcia
Colin,Allred,TX,Democrat,RepColinAllred
Elaine,Luria,VA,Democrat,RepElaineLuria
Ben,Cline,VA,Republican,RepBenCline
Abigail,Spanberger,VA,Democrat,RepSpanberger
Jennifer,Wexton,VA,Democrat,RepWexton
Kim,Schrier,WA,Democrat,RepKimSchrier
